Municipio;Data;ano;mês;INPC;Preco_medio_CB;IPCA_Geral;IGP_10_geral;Inflacao_renda_muito_baixa;Inflacao_renda_baixa;Inflacao_renda_media_baixa;Inflacao_renda_media;Inflacao_renda_media_alta;Inflacao_renda_alta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
São Paulo;20210501;2021;5;5597,3;636,4;5739,56;1.074;0,92;0,88;0,85;0,82;0,75;0,5;0;0;0;0;1;0;0;0;0;0;0;0
São Paulo;20210601;2021;6;6124,59;626,76;5769,98;1.099;0,62;0,6;0,55;0,52;0,44;0,36;0;0;0;0;0;1;0;0;0;0;0;0
São Paulo;20210701;2021;7;6196,25;640,51;5825,37;1.101;1,12;1,07;1,01;0,89;0,78;0,88;0;0;0;0;0;0;1;0;0;0;0;0
São Paulo;20210801;2021;8;6266,27;650,5;5876,05;1.114;0,91;0,91;0,9;0,87;0,85;0,78;0;0;0;0;0;0;0;1;0;0;0;0
São Paulo;20210901;2021;9;6335,2;673,45;5944,21;1.109;1,3;1,2;1,21;1,13;1,04;1,09;0;0;0;0;0;0;0;0;1;0;0;0
São Paulo;20211001;2021;10;6418,82;693,79;6018,51;1106,04;1,35;1,25;1,27;1,19;1,1;1,2;0;0;0;0;0;0;0;0;0;1;0;0
São Paulo;20211101;2021;11;6468,24;692,27;6075,69;1.119;0,65;0,76;0,94;1,1;1,08;1,02;0;0;0;0;0;0;0;0;0;0;1;0
São Paulo;20211201;2021;12;6507,05;690,51;6120,04;1.118;0,74;0,71;0,72;0,7;0,7;0,82;0;0;0;0;0;0;0;0;0;0;0;1
São Paulo;20220101;2022;1;6564,31;713,86;6153,09;1.138;0,63;0,62;0,58;0,53;0,51;0,34;1;0;0;0;0;0;0;0;0;0;0;0
São Paulo;20220201;2022;2;6633,24;715,65;6215,24;1.160;1;0,94;0,93;0,98;0,97;1,07;0;1;0;0;0;0;0;0;0;0;0;0
São Paulo;20220301;2022;3;6738,05;761,19;6315,93;1.174;1,74;1,72;1,7;1,63;1,51;1,24;0;0;1;0;0;0;0;0;0;0;0;0
